slim_id	slim_name	direction	entrez_gene_id	gene_symbol
DOID:10652	Alzheimer's disease	down	65985	AACS
DOID:10652	Alzheimer's disease	down	79719	AAGAB
DOID:10652	Alzheimer's disease	down	16	AARS
DOID:10652	Alzheimer's disease	down	60496	AASDHPPT
DOID:10652	Alzheimer's disease	down	21	ABCA3
DOID:10652	Alzheimer's disease	down	23461	ABCA5
DOID:10652	Alzheimer's disease	down	8647	ABCB11
DOID:10652	Alzheimer's disease	down	4363	ABCC1
DOID:10652	Alzheimer's disease	down	225	ABCD2
DOID:10652	Alzheimer's disease	down	6059	ABCE1
DOID:10652	Alzheimer's disease	down	23	ABCF1
DOID:10652	Alzheimer's disease	down	10061	ABCF2
DOID:10652	Alzheimer's disease	down	55324	ABCF3
DOID:10652	Alzheimer's disease	down	25864	ABHD14A
DOID:10652	Alzheimer's disease	down	57406	ABHD6
DOID:10652	Alzheimer's disease	down	22885	ABLIM3
DOID:10652	Alzheimer's disease	down	28	ABO
DOID:10652	Alzheimer's disease	down	34	ACADM
DOID:10652	Alzheimer's disease	down	36	ACADSB
DOID:10652	Alzheimer's disease	down	38	ACAT1
DOID:10652	Alzheimer's disease	down	1636	ACE
DOID:10652	Alzheimer's disease	down	50	ACO2
DOID:10652	Alzheimer's disease	down	55856	ACOT13
DOID:10652	Alzheimer's disease	down	10005	ACOT8
DOID:10652	Alzheimer's disease	down	52	ACP1
DOID:10652	Alzheimer's disease	down	56	ACRV1
DOID:10652	Alzheimer's disease	down	2182	ACSL4
DOID:10652	Alzheimer's disease	down	23305	ACSL6
DOID:10652	Alzheimer's disease	down	58	ACTA1
DOID:10652	Alzheimer's disease	down	51412	ACTL6B
DOID:10652	Alzheimer's disease	down	10880	ACTL7B
DOID:10652	Alzheimer's disease	down	88	ACTN2
DOID:10652	Alzheimer's disease	down	10121	ACTR1A
DOID:10652	Alzheimer's disease	down	93973	ACTR8
DOID:10652	Alzheimer's disease	down	91	ACVR1B
DOID:10652	Alzheimer's disease	down	98	ACYP2
DOID:10652	Alzheimer's disease	down	4185	ADAM11
DOID:10652	Alzheimer's disease	down	8748	ADAM20
DOID:10652	Alzheimer's disease	down	9508	ADAMTS3
DOID:10652	Alzheimer's disease	down	11095	ADAMTS8
DOID:10652	Alzheimer's disease	down	23536	ADAT1
DOID:10652	Alzheimer's disease	down	107	ADCY1
DOID:10652	Alzheimer's disease	down	108	ADCY2
DOID:10652	Alzheimer's disease	down	119	ADD2
DOID:10652	Alzheimer's disease	down	575	ADGRB1
