series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	gdm_control	gdm	sample_class
9415	482	373955	GSM1200451	GPL7020	GSE49524	gdm_control		0
9415	482	373956	GSM1200452	GPL7020	GSE49524	gdm_control		0
9415	482	373957	GSM1200453	GPL7020	GSE49524	gdm_control		0
9415	482	373958	GSM1200454	GPL7020	GSE49524		gdm	1
9415	482	373959	GSM1200455	GPL7020	GSE49524		gdm	1
9415	482	373960	GSM1200456	GPL7020	GSE49524		gdm	1
13510	1802	528016	GSM1603908	GPL16956	GSE65737	gdm_control		0
13510	1802	528022	GSM1603909	GPL16956	GSE65737	gdm_control		0
13510	1802	528027	GSM1603910	GPL16956	GSE65737	gdm_control		0
13510	1802	528030	GSM1603911	GPL16956	GSE65737		gdm	1
13510	1802	528033	GSM1603912	GPL16956	GSE65737		gdm	1
13510	1802	528037	GSM1603913	GPL16956	GSE65737		gdm	1
