series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	pd_control	pd	sample_class
2292	280	93195	GSM466881	GPL5175	GSE18838		pd	1
2292	280	93196	GSM466882	GPL5175	GSE18838		pd	1
2292	280	93197	GSM466883	GPL5175	GSE18838		pd	1
2292	280	93198	GSM466884	GPL5175	GSE18838		pd	1
2292	280	93199	GSM466885	GPL5175	GSE18838		pd	1
2292	280	93200	GSM466886	GPL5175	GSE18838		pd	1
2292	280	93201	GSM466887	GPL5175	GSE18838		pd	1
2292	280	93202	GSM466888	GPL5175	GSE18838		pd	1
2292	280	93203	GSM466889	GPL5175	GSE18838		pd	1
2292	280	93204	GSM466890	GPL5175	GSE18838		pd	1
2292	280	93205	GSM466891	GPL5175	GSE18838		pd	1
2292	280	93206	GSM466892	GPL5175	GSE18838		pd	1
2292	280	93207	GSM466893	GPL5175	GSE18838		pd	1
2292	280	93208	GSM466894	GPL5175	GSE18838		pd	1
2292	280	93209	GSM466895	GPL5175	GSE18838		pd	1
2292	280	93210	GSM466896	GPL5175	GSE18838		pd	1
2292	280	93211	GSM466897	GPL5175	GSE18838		pd	1
2292	280	93212	GSM466898	GPL5175	GSE18838	pd_control		0
2292	280	93213	GSM466899	GPL5175	GSE18838	pd_control		0
2292	280	93214	GSM466900	GPL5175	GSE18838	pd_control		0
2292	280	93215	GSM466901	GPL5175	GSE18838	pd_control		0
2292	280	93216	GSM466902	GPL5175	GSE18838	pd_control		0
2292	280	93217	GSM466903	GPL5175	GSE18838	pd_control		0
2292	280	93218	GSM466904	GPL5175	GSE18838	pd_control		0
2292	280	93219	GSM466905	GPL5175	GSE18838	pd_control		0
2292	280	93220	GSM466906	GPL5175	GSE18838	pd_control		0
2292	280	93221	GSM466907	GPL5175	GSE18838	pd_control		0
2292	280	93222	GSM466908	GPL5175	GSE18838	pd_control		0
2467	9	100461	GSM488111	GPL571	GSE19587	pd_control		0
2467	9	100462	GSM488112	GPL571	GSE19587	pd_control		0
2467	9	100463	GSM488113	GPL571	GSE19587	pd_control		0
2467	9	100464	GSM488114	GPL571	GSE19587	pd_control		0
2467	9	100465	GSM488115	GPL571	GSE19587	pd_control		0
2467	9	100466	GSM488116	GPL571	GSE19587	pd_control		0
2467	9	100467	GSM488117	GPL571	GSE19587	pd_control		0
2467	9	100468	GSM488118	GPL571	GSE19587	pd_control		0
2467	9	100469	GSM488119	GPL571	GSE19587		pd	1
2467	9	100470	GSM488120	GPL571	GSE19587		pd	1
2467	9	100471	GSM488121	GPL571	GSE19587		pd	1
2467	9	100472	GSM488122	GPL571	GSE19587		pd	1
2467	9	100473	GSM488123	GPL571	GSE19587		pd	1
2467	9	100474	GSM488124	GPL571	GSE19587		pd	1
2467	9	100475	GSM488125	GPL571	GSE19587		pd	1
2467	9	100476	GSM488126	GPL571	GSE19587		pd	1
2467	9	100477	GSM488127	GPL571	GSE19587		pd	1
2467	9	100478	GSM488128	GPL571	GSE19587		pd	1
2467	9	100479	GSM488129	GPL571	GSE19587		pd	1
2467	9	100480	GSM488130	GPL571	GSE19587		pd	1
2467	9	100481	GSM488131	GPL571	GSE19587	pd_control		0
2467	9	100482	GSM488132	GPL571	GSE19587	pd_control		0
2616	4	105837	GSM503950	GPL570	GSE20141	pd_control		0
2616	4	105838	GSM503951	GPL570	GSE20141	pd_control		0
2616	4	105839	GSM503952	GPL570	GSE20141	pd_control		0
2616	4	105840	GSM503953	GPL570	GSE20141	pd_control		0
2616	4	105841	GSM503954	GPL570	GSE20141	pd_control		0
2616	4	105842	GSM503955	GPL570	GSE20141	pd_control		0
2616	4	105843	GSM503956	GPL570	GSE20141	pd_control		0
2616	4	105844	GSM503957	GPL570	GSE20141	pd_control		0
2616	4	105845	GSM503958	GPL570	GSE20141		pd	1
2616	4	105846	GSM503959	GPL570	GSE20141		pd	1
2616	4	105847	GSM503960	GPL570	GSE20141		pd	1
2616	4	105848	GSM503961	GPL570	GSE20141		pd	1
2616	4	105849	GSM503962	GPL570	GSE20141		pd	1
2616	4	105850	GSM503963	GPL570	GSE20141		pd	1
2616	4	105851	GSM503964	GPL570	GSE20141		pd	1
2616	4	105852	GSM503965	GPL570	GSE20141		pd	1
2616	4	105853	GSM503966	GPL570	GSE20141		pd	1
2616	4	105854	GSM503967	GPL570	GSE20141		pd	1
2619	4	107102	GSM505256	GPL570	GSE20146		pd	1
