series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	atherosclerosis_control	atherosclerosis	sample_class
2612	3	105067	GSM502400	GPL6104	GSE20129		atherosclerosis	1
2612	3	105068	GSM502401	GPL6104	GSE20129		atherosclerosis	1
2612	3	105069	GSM502402	GPL6104	GSE20129		atherosclerosis	1
2612	3	105070	GSM502403	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105071	GSM502404	GPL6104	GSE20129		atherosclerosis	1
2612	3	105072	GSM502405	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105073	GSM502406	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105074	GSM502407	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105075	GSM502408	GPL6104	GSE20129		atherosclerosis	1
2612	3	105076	GSM502409	GPL6104	GSE20129		atherosclerosis	1
2612	3	105077	GSM502410	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105078	GSM502411	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105079	GSM502412	GPL6104	GSE20129		atherosclerosis	1
2612	3	105080	GSM502413	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105081	GSM502414	GPL6104	GSE20129		atherosclerosis	1
2612	3	105082	GSM502415	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105083	GSM502416	GPL6104	GSE20129		atherosclerosis	1
2612	3	105084	GSM502417	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105085	GSM502418	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105086	GSM502419	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105087	GSM502420	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105088	GSM502421	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105089	GSM502422	GPL6104	GSE20129		atherosclerosis	1
2612	3	105090	GSM502423	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105091	GSM502424	GPL6104	GSE20129		atherosclerosis	1
2612	3	105092	GSM502425	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105093	GSM502426	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105094	GSM502427	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105095	GSM502428	GPL6104	GSE20129		atherosclerosis	1
2612	3	105096	GSM502429	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105097	GSM502430	GPL6104	GSE20129		atherosclerosis	1
2612	3	105098	GSM502431	GPL6104	GSE20129	atherosclerosis_control		0
2612	3	105099	GSM502432	GPL6104	GSE20129	atherosclerosis_control		0
