series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	mm	aml_control	or	aml_tissue	mm_control	sample_class
198	4	7824	GSM271331	GPL570	GSE10746		aml_control				0
198	4	7825	GSM271332	GPL570	GSE10746		aml_control				0
198	4	7826	GSM271333	GPL570	GSE10746		aml_control				0
198	4	7827	GSM271334	GPL570	GSE10746				aml_tissue		1
198	4	7828	GSM271335	GPL570	GSE10746				aml_tissue		1
198	4	7829	GSM271336	GPL570	GSE10746				aml_tissue		1
198	4	7830	GSM271337	GPL570	GSE10746				aml_tissue		1
198	4	7831	GSM271338	GPL570	GSE10746				aml_tissue		1
198	4	7832	GSM271339	GPL570	GSE10746				aml_tissue		1
198	4	7833	GSM271340	GPL570	GSE10746				aml_tissue		1
198	4	7834	GSM271341	GPL570	GSE10746				aml_tissue		1
938	2	44525	GSM341928	GPL96	GSE13591					mm_control	0
938	2	44526	GSM341929	GPL96	GSE13591					mm_control	0
938	2	44527	GSM341930	GPL96	GSE13591					mm_control	0
938	2	44528	GSM341931	GPL96	GSE13591					mm_control	0
938	2	44540	GSM341943	GPL96	GSE13591	mm					1
938	2	44541	GSM341944	GPL96	GSE13591	mm					1
938	2	44542	GSM341945	GPL96	GSE13591	mm					1
938	2	44543	GSM341946	GPL96	GSE13591	mm					1
938	2	44544	GSM341947	GPL96	GSE13591	mm					1
938	2	44545	GSM341948	GPL96	GSE13591	mm					1
938	2	44546	GSM341949	GPL96	GSE13591	mm					1
938	2	44547	GSM341950	GPL96	GSE13591	mm					1
938	2	44548	GSM341951	GPL96	GSE13591	mm					1
938	2	44549	GSM341952	GPL96	GSE13591	mm					1
938	2	44550	GSM341953	GPL96	GSE13591	mm					1
938	2	44551	GSM341954	GPL96	GSE13591	mm					1
938	2	44552	GSM341955	GPL96	GSE13591	mm					1
938	2	44553	GSM341956	GPL96	GSE13591	mm					1
938	2	44554	GSM341957	GPL96	GSE13591	mm					1
938	2	44555	GSM341958	GPL96	GSE13591	mm					1
938	2	44556	GSM341959	GPL96	GSE13591	mm					1
938	2	44557	GSM341960	GPL96	GSE13591	mm					1
938	2	44558	GSM341961	GPL96	GSE13591	mm					1
938	2	44559	GSM341962	GPL96	GSE13591	mm					1
938	2	44560	GSM341963	GPL96	GSE13591	mm					1
938	2	44561	GSM341964	GPL96	GSE13591	mm					1
938	2	44562	GSM341965	GPL96	GSE13591	mm					1
938	2	44563	GSM341966	GPL96	GSE13591	mm					1
938	2	44564	GSM341967	GPL96	GSE13591	mm					1
938	2	44565	GSM341968	GPL96	GSE13591	mm					1
938	2	44566	GSM341969	GPL96	GSE13591	mm					1
938	2	44567	GSM341970	GPL96	GSE13591	mm					1
938	2	44568	GSM341971	GPL96	GSE13591	mm					1
938	2	44569	GSM341972	GPL96	GSE13591	mm					1
938	2	44570	GSM341973	GPL96	GSE13591	mm					1
938	2	44571	GSM341974	GPL96	GSE13591	mm					1
938	2	44572	GSM341975	GPL96	GSE13591	mm					1
938	2	44573	GSM341976	GPL96	GSE13591	mm					1
938	2	44574	GSM341977	GPL96	GSE13591	mm					1
938	2	44575	GSM341978	GPL96	GSE13591	mm					1
938	2	44576	GSM341979	GPL96	GSE13591	mm					1
938	2	44577	GSM341980	GPL96	GSE13591	mm					1
938	2	44578	GSM341981	GPL96	GSE13591	mm					1
