series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	rcc_control	rcc	sample_class
685	4	28331	GSM315855	GPL570	GSE12606	rcc_control		0
685	4	28332	GSM315856	GPL570	GSE12606	rcc_control		0
685	4	28333	GSM315857	GPL570	GSE12606		rcc	1
685	4	28334	GSM315858	GPL570	GSE12606		rcc	1
685	4	28335	GSM315859	GPL570	GSE12606	rcc_control		0
685	4	28336	GSM315860	GPL570	GSE12606		rcc	1
685	4	28337	GSM315861	GPL570	GSE12606		rcc	1
685	4	28338	GSM315862	GPL570	GSE12606	rcc_control		0
685	4	28339	GSM315863	GPL570	GSE12606		rcc	1
685	4	28340	GSM315864	GPL570	GSE12606		rcc	1
1230	471	56262	GSM368639	GPL4866	GSE14762		rcc	1
1230	471	56263	GSM368640	GPL4866	GSE14762		rcc	1
1230	471	56264	GSM368641	GPL4866	GSE14762		rcc	1
1230	471	56265	GSM368642	GPL4866	GSE14762		rcc	1
1230	471	56266	GSM368643	GPL4866	GSE14762		rcc	1
1230	471	56267	GSM368644	GPL4866	GSE14762		rcc	1
1230	471	56268	GSM368645	GPL4866	GSE14762		rcc	1
1230	471	56269	GSM368646	GPL4866	GSE14762		rcc	1
1230	471	56270	GSM368647	GPL4866	GSE14762		rcc	1
1230	471	56271	GSM368648	GPL4866	GSE14762		rcc	1
1230	471	56272	GSM368649	GPL4866	GSE14762	rcc_control		0
1230	471	56273	GSM368650	GPL4866	GSE14762	rcc_control		0
1230	471	56274	GSM368651	GPL4866	GSE14762	rcc_control		0
1230	471	56275	GSM368652	GPL4866	GSE14762	rcc_control		0
1230	471	56276	GSM368653	GPL4866	GSE14762	rcc_control		0
1230	471	56277	GSM368654	GPL4866	GSE14762	rcc_control		0
1230	471	56278	GSM368655	GPL4866	GSE14762	rcc_control		0
1230	471	56279	GSM368656	GPL4866	GSE14762	rcc_control		0
1230	471	56280	GSM368657	GPL4866	GSE14762	rcc_control		0
1230	471	56281	GSM368658	GPL4866	GSE14762	rcc_control		0
1230	471	56282	GSM368659	GPL4866	GSE14762	rcc_control		0
1230	471	56283	GSM368660	GPL4866	GSE14762	rcc_control		0
1490	2	66333	GSM391107	GPL96	GSE15641	rcc_control		0
1490	2	66334	GSM391108	GPL96	GSE15641	rcc_control		0
1490	2	66335	GSM391109	GPL96	GSE15641	rcc_control		0
1490	2	66336	GSM391110	GPL96	GSE15641	rcc_control		0
1490	2	66337	GSM391111	GPL96	GSE15641	rcc_control		0
1490	2	66338	GSM391112	GPL96	GSE15641	rcc_control		0
1490	2	66339	GSM391113	GPL96	GSE15641	rcc_control		0
1490	2	66340	GSM391114	GPL96	GSE15641	rcc_control		0
1490	2	66341	GSM391115	GPL96	GSE15641	rcc_control		0
1490	2	66342	GSM391116	GPL96	GSE15641	rcc_control		0
1490	2	66343	GSM391117	GPL96	GSE15641	rcc_control		0
1490	2	66344	GSM391118	GPL96	GSE15641	rcc_control		0
1490	2	66345	GSM391119	GPL96	GSE15641	rcc_control		0
1490	2	66346	GSM391120	GPL96	GSE15641	rcc_control		0
1490	2	66347	GSM391121	GPL96	GSE15641	rcc_control		0
1490	2	66348	GSM391122	GPL96	GSE15641	rcc_control		0
1490	2	66349	GSM391123	GPL96	GSE15641	rcc_control		0
1490	2	66350	GSM391124	GPL96	GSE15641	rcc_control		0
1490	2	66351	GSM391125	GPL96	GSE15641	rcc_control		0
1490	2	66352	GSM391126	GPL96	GSE15641	rcc_control		0
1490	2	66353	GSM391127	GPL96	GSE15641	rcc_control		0
1490	2	66354	GSM391128	GPL96	GSE15641	rcc_control		0
1490	2	66355	GSM391129	GPL96	GSE15641	rcc_control		0
1490	2	66356	GSM391130	GPL96	GSE15641		rcc	1
1490	2	66357	GSM391131	GPL96	GSE15641		rcc	1
1490	2	66358	GSM391132	GPL96	GSE15641		rcc	1
1490	2	66359	GSM391133	GPL96	GSE15641		rcc	1
1490	2	66360	GSM391134	GPL96	GSE15641		rcc	1
1490	2	66361	GSM391135	GPL96	GSE15641		rcc	1
1490	2	66362	GSM391136	GPL96	GSE15641		rcc	1
1490	2	66363	GSM391137	GPL96	GSE15641		rcc	1
1490	2	66364	GSM391138	GPL96	GSE15641		rcc	1
1490	2	66365	GSM391139	GPL96	GSE15641		rcc	1
1490	2	66366	GSM391140	GPL96	GSE15641		rcc	1
1490	2	66367	GSM391141	GPL96	GSE15641		rcc	1
1490	2	66368	GSM391142	GPL96	GSE15641		rcc	1
1490	2	66369	GSM391143	GPL96	GSE15641		rcc	1
