series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	iga_nephropathy_control	iga_nephropathy	sample_class
1241	2	56848	GSM369302	GPL96	GSE14795	iga_nephropathy_control		0
1241	2	56849	GSM369303	GPL96	GSE14795	iga_nephropathy_control		0
1241	2	56850	GSM369304	GPL96	GSE14795	iga_nephropathy_control		0
1241	2	56851	GSM369305	GPL96	GSE14795	iga_nephropathy_control		0
1241	2	56852	GSM369306	GPL96	GSE14795	iga_nephropathy_control		0
1241	2	56853	GSM369346	GPL96	GSE14795		iga_nephropathy	1
1241	2	56854	GSM369347	GPL96	GSE14795		iga_nephropathy	1
1241	2	56855	GSM369348	GPL96	GSE14795		iga_nephropathy	1
1241	2	56856	GSM369349	GPL96	GSE14795		iga_nephropathy	1
1241	2	56857	GSM369350	GPL96	GSE14795		iga_nephropathy	1
1241	2	56858	GSM369351	GPL96	GSE14795		iga_nephropathy	1
1241	2	56859	GSM369353	GPL96	GSE14795		iga_nephropathy	1
1241	2	56860	GSM369354	GPL96	GSE14795		iga_nephropathy	1
1241	2	56861	GSM369357	GPL96	GSE14795		iga_nephropathy	1
1241	2	56862	GSM369359	GPL96	GSE14795		iga_nephropathy	1
1241	2	56863	GSM369894	GPL96	GSE14795		iga_nephropathy	1
1241	2	56864	GSM369895	GPL96	GSE14795		iga_nephropathy	1
1241	2	56865	GSM369897	GPL96	GSE14795	iga_nephropathy_control		0
1241	2	56866	GSM369898	GPL96	GSE14795	iga_nephropathy_control		0
1241	2	56867	GSM369899	GPL96	GSE14795	iga_nephropathy_control		0
6431	2	255856	GSM869311	GPL96	GSE35487		iga_nephropathy	1
6431	2	255857	GSM869315	GPL96	GSE35487		iga_nephropathy	1
6431	2	255858	GSM869316	GPL96	GSE35487		iga_nephropathy	1
6431	2	255859	GSM869317	GPL96	GSE35487		iga_nephropathy	1
6431	2	255860	GSM869318	GPL96	GSE35487		iga_nephropathy	1
6431	2	255861	GSM869319	GPL96	GSE35487		iga_nephropathy	1
6431	2	255862	GSM869320	GPL96	GSE35487		iga_nephropathy	1
6431	2	255863	GSM869321	GPL96	GSE35487		iga_nephropathy	1
6431	2	255864	GSM869322	GPL96	GSE35487		iga_nephropathy	1
6431	2	255865	GSM869323	GPL96	GSE35487		iga_nephropathy	1
6431	2	255866	GSM869324	GPL96	GSE35487		iga_nephropathy	1
6431	2	255867	GSM869325	GPL96	GSE35487		iga_nephropathy	1
6431	2	255868	GSM869326	GPL96	GSE35487		iga_nephropathy	1
6431	2	255869	GSM869327	GPL96	GSE35487		iga_nephropathy	1
6431	2	255870	GSM869328	GPL96	GSE35487		iga_nephropathy	1
6431	2	255871	GSM869329	GPL96	GSE35487		iga_nephropathy	1
6431	2	255872	GSM869330	GPL96	GSE35487		iga_nephropathy	1
6431	2	255873	GSM869331	GPL96	GSE35487		iga_nephropathy	1
6431	2	255874	GSM869332	GPL96	GSE35487		iga_nephropathy	1
6431	2	255875	GSM869333	GPL96	GSE35487		iga_nephropathy	1
6431	2	255876	GSM869334	GPL96	GSE35487		iga_nephropathy	1
6431	2	255877	GSM869335	GPL96	GSE35487		iga_nephropathy	1
6431	2	255878	GSM869336	GPL96	GSE35487		iga_nephropathy	1
6431	2	255879	GSM869337	GPL96	GSE35487		iga_nephropathy	1
6431	2	255880	GSM869338	GPL96	GSE35487		iga_nephropathy	1
6431	2	255881	GSM869339	GPL96	GSE35487	iga_nephropathy_control		0
6431	2	255882	GSM869340	GPL96	GSE35487	iga_nephropathy_control		0
6431	2	255883	GSM869341	GPL96	GSE35487	iga_nephropathy_control		0
6431	2	255884	GSM869342	GPL96	GSE35487	iga_nephropathy_control		0
6431	2	255885	GSM869343	GPL96	GSE35487	iga_nephropathy_control		0
6431	2	255886	GSM869344	GPL96	GSE35487	iga_nephropathy_control		0
6432	1019	255887	GSM869345	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255888	GSM869346	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255889	GSM869347	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255890	GSM869348	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255891	GSM869349	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255892	GSM869350	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255893	GSM869351	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255894	GSM869352	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255895	GSM869353	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255896	GSM869354	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255897	GSM869355	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255898	GSM869356	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255899	GSM869357	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255900	GSM869358	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255901	GSM869359	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255902	GSM869360	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255903	GSM869361	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255904	GSM869362	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255905	GSM869363	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255906	GSM869364	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255907	GSM869365	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255908	GSM869366	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255909	GSM869367	GPL14663	GSE35488		iga_nephropathy	1
