series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	allergic_rhinitis_control	allergic_rhinitis	sample_class
2377	283	95907	GSM475619	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95908	GSM475620	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95909	GSM475621	GPL6244	GSE19187	allergic_rhinitis_control		0
2377	283	95910	GSM475622	GPL6244	GSE19187	allergic_rhinitis_control		0
2377	283	95911	GSM475623	GPL6244	GSE19187	allergic_rhinitis_control		0
2377	283	95912	GSM475624	GPL6244	GSE19187	allergic_rhinitis_control		0
2377	283	95914	GSM475626	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95915	GSM475627	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95916	GSM475628	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95917	GSM475629	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95918	GSM475630	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95919	GSM475631	GPL6244	GSE19187	allergic_rhinitis_control		0
2377	283	95920	GSM475632	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95921	GSM475633	GPL6244	GSE19187	allergic_rhinitis_control		0
2377	283	95922	GSM475634	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95923	GSM475635	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95924	GSM475636	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95925	GSM475637	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95926	GSM475638	GPL6244	GSE19187	allergic_rhinitis_control		0
2377	283	95928	GSM475640	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95929	GSM475641	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95930	GSM475642	GPL6244	GSE19187	allergic_rhinitis_control		0
2377	283	95931	GSM475643	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95932	GSM475644	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95933	GSM475645	GPL6244	GSE19187	allergic_rhinitis_control		0
2377	283	95934	GSM475646	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95936	GSM475648	GPL6244	GSE19187	allergic_rhinitis_control		0
2377	283	95937	GSM475649	GPL6244	GSE19187	allergic_rhinitis_control		0
2377	283	95938	GSM475650	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95939	GSM475651	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95940	GSM475652	GPL6244	GSE19187		allergic_rhinitis	1
2377	283	95941	GSM475653	GPL6244	GSE19187		allergic_rhinitis	1
2481	654	100845	GSM35074	GPL538	GSE1964		allergic_rhinitis	1
2481	654	100846	GSM35075	GPL538	GSE1964		allergic_rhinitis	1
2481	654	100847	GSM35076	GPL538	GSE1964		allergic_rhinitis	1
2481	654	100848	GSM35077	GPL538	GSE1964		allergic_rhinitis	1
2481	654	100849	GSM35078	GPL538	GSE1964		allergic_rhinitis	1
2481	654	100850	GSM35079	GPL538	GSE1964		allergic_rhinitis	1
2481	654	100851	GSM35080	GPL538	GSE1964		allergic_rhinitis	1
2481	654	100852	GSM35081	GPL538	GSE1964		allergic_rhinitis	1
2481	654	100857	GSM35093	GPL538	GSE1964	allergic_rhinitis_control		0
2481	654	100858	GSM35094	GPL538	GSE1964	allergic_rhinitis_control		0
2481	654	100859	GSM35095	GPL538	GSE1964	allergic_rhinitis_control		0
2481	654	100860	GSM35096	GPL538	GSE1964	allergic_rhinitis_control		0
