series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	aaa_control	aaa	sample_class
3020	724	124949	GSM542981	GPL10412	GSE21803		aaa	1
3020	724	124950	GSM542982	GPL10412	GSE21803		aaa	1
3020	724	124951	GSM542983	GPL10412	GSE21803		aaa	1
3020	724	124952	GSM542984	GPL10412	GSE21803		aaa	1
3020	724	124953	GSM542985	GPL10412	GSE21803	aaa_control		0
3020	724	124954	GSM542986	GPL10412	GSE21803	aaa_control		0
3020	724	124955	GSM542987	GPL10412	GSE21803	aaa_control		0
3020	724	124956	GSM542988	GPL10412	GSE21803	aaa_control		0
9057	674	357507	GSM1150689	GPL10558	GSE47472		aaa	1
9057	674	357508	GSM1150690	GPL10558	GSE47472		aaa	1
9057	674	357509	GSM1150691	GPL10558	GSE47472		aaa	1
9057	674	357510	GSM1150692	GPL10558	GSE47472		aaa	1
9057	674	357511	GSM1150693	GPL10558	GSE47472		aaa	1
9057	674	357512	GSM1150694	GPL10558	GSE47472		aaa	1
9057	674	357513	GSM1150695	GPL10558	GSE47472		aaa	1
9057	674	357514	GSM1150696	GPL10558	GSE47472		aaa	1
9057	674	357515	GSM1150697	GPL10558	GSE47472		aaa	1
9057	674	357516	GSM1150698	GPL10558	GSE47472		aaa	1
9057	674	357517	GSM1150699	GPL10558	GSE47472		aaa	1
9057	674	357518	GSM1150700	GPL10558	GSE47472		aaa	1
9057	674	357519	GSM1150701	GPL10558	GSE47472		aaa	1
9057	674	357520	GSM1150702	GPL10558	GSE47472		aaa	1
9057	674	357521	GSM1150703	GPL10558	GSE47472	aaa_control		0
9057	674	357522	GSM1150704	GPL10558	GSE47472	aaa_control		0
9057	674	357523	GSM1150705	GPL10558	GSE47472	aaa_control		0
9057	674	357524	GSM1150706	GPL10558	GSE47472	aaa_control		0
9057	674	357525	GSM1150707	GPL10558	GSE47472	aaa_control		0
9057	674	357526	GSM1150708	GPL10558	GSE47472	aaa_control		0
9057	674	357527	GSM1150709	GPL10558	GSE47472	aaa_control		0
9057	674	357528	GSM1150710	GPL10558	GSE47472	aaa_control		0
11146	39	437870	GSM170550	GPL2507	GSE7084		aaa	1
11146	39	437871	GSM170551	GPL2507	GSE7084		aaa	1
11146	39	437872	GSM170552	GPL2507	GSE7084		aaa	1
11146	39	437873	GSM170553	GPL2507	GSE7084		aaa	1
11146	39	437874	GSM170554	GPL2507	GSE7084		aaa	1
11146	39	437875	GSM170555	GPL2507	GSE7084		aaa	1
11146	39	437876	GSM170556	GPL2507	GSE7084	aaa_control		0
11146	39	437877	GSM170557	GPL2507	GSE7084	aaa_control		0
11146	39	437878	GSM170558	GPL2507	GSE7084	aaa_control		0
11146	39	437879	GSM170559	GPL2507	GSE7084	aaa_control		0
11146	39	437880	GSM170560	GPL2507	GSE7084	aaa_control		0
11146	39	437881	GSM170561	GPL2507	GSE7084	aaa_control		0
11146	39	437882	GSM170562	GPL2507	GSE7084	aaa_control		0
11146	39	437883	GSM170563	GPL2507	GSE7084		aaa	1
11146	39	437884	GSM170564	GPL2507	GSE7084	aaa_control		0
12645	674	497450	GSM1386783	GPL10558	GSE57691		aaa	1
12645	674	497453	GSM1386784	GPL10558	GSE57691		aaa	1
12645	674	497456	GSM1386785	GPL10558	GSE57691		aaa	1
12645	674	497462	GSM1386786	GPL10558	GSE57691		aaa	1
12645	674	497464	GSM1386787	GPL10558	GSE57691		aaa	1
12645	674	497466	GSM1386788	GPL10558	GSE57691		aaa	1
12645	674	497470	GSM1386789	GPL10558	GSE57691		aaa	1
12645	674	497476	GSM1386790	GPL10558	GSE57691		aaa	1
12645	674	497480	GSM1386791	GPL10558	GSE57691		aaa	1
12645	674	497484	GSM1386792	GPL10558	GSE57691		aaa	1
12645	674	497488	GSM1386793	GPL10558	GSE57691		aaa	1
12645	674	497492	GSM1386794	GPL10558	GSE57691		aaa	1
12645	674	497494	GSM1386795	GPL10558	GSE57691		aaa	1
12645	674	497497	GSM1386796	GPL10558	GSE57691		aaa	1
12645	674	497503	GSM1386797	GPL10558	GSE57691		aaa	1
12645	674	497506	GSM1386798	GPL10558	GSE57691		aaa	1
