series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	periodontitis	periodontitis_control	sample_class
4587	283	188755	GSM692587	GPL6244	GSE27993		periodontitis_control	0
4587	283	188756	GSM692588	GPL6244	GSE27993		periodontitis_control	0
4587	283	188757	GSM692589	GPL6244	GSE27993		periodontitis_control	0
4587	283	188758	GSM692590	GPL6244	GSE27993		periodontitis_control	0
4587	283	188759	GSM692591	GPL6244	GSE27993		periodontitis_control	0
4587	283	188760	GSM692592	GPL6244	GSE27993	periodontitis		1
4587	283	188761	GSM692593	GPL6244	GSE27993	periodontitis		1
4587	283	188762	GSM692594	GPL6244	GSE27993	periodontitis		1
4587	283	188763	GSM692595	GPL6244	GSE27993	periodontitis		1
4587	283	188764	GSM692596	GPL6244	GSE27993	periodontitis		1
8303	674	327584	GSM1064909	GPL10558	GSE43525		periodontitis_control	0
8303	674	327585	GSM1064910	GPL10558	GSE43525		periodontitis_control	0
8303	674	327586	GSM1064911	GPL10558	GSE43525		periodontitis_control	0
8303	674	327587	GSM1064912	GPL10558	GSE43525		periodontitis_control	0
8303	674	327588	GSM1064913	GPL10558	GSE43525		periodontitis_control	0
8303	674	327589	GSM1064914	GPL10558	GSE43525		periodontitis_control	0
8303	674	327590	GSM1064915	GPL10558	GSE43525	periodontitis		1
8303	674	327591	GSM1064916	GPL10558	GSE43525	periodontitis		1
8303	674	327592	GSM1064917	GPL10558	GSE43525	periodontitis		1
8303	674	327593	GSM1064918	GPL10558	GSE43525	periodontitis		1
8303	674	327594	GSM1064919	GPL10558	GSE43525	periodontitis		1
8303	674	327595	GSM1064920	GPL10558	GSE43525	periodontitis		1
8303	674	327596	GSM1064921	GPL10558	GSE43525	periodontitis		1
8303	674	327597	GSM1064922	GPL10558	GSE43525	periodontitis		1
8303	674	327598	GSM1064923	GPL10558	GSE43525	periodontitis		1
8303	674	327599	GSM1064924	GPL10558	GSE43525	periodontitis		1
8303	674	327600	GSM1064925	GPL10558	GSE43525	periodontitis		1
8303	674	327601	GSM1064926	GPL10558	GSE43525	periodontitis		1
8303	674	327602	GSM1064927	GPL10558	GSE43525	periodontitis		1
8303	674	327603	GSM1064928	GPL10558	GSE43525	periodontitis		1
8303	674	327604	GSM1064929	GPL10558	GSE43525	periodontitis		1
8303	674	327605	GSM1064930	GPL10558	GSE43525	periodontitis		1
8303	674	327606	GSM1064932	GPL10558	GSE43525		periodontitis_control	0
