series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	cd_control	cd	sample_class
169	25	6150	GSM267527	GPL5760	GSE10616		cd	1
169	25	6151	GSM267528	GPL5760	GSE10616		cd	1
169	25	6152	GSM267529	GPL5760	GSE10616		cd	1
169	25	6153	GSM267530	GPL5760	GSE10616		cd	1
169	25	6154	GSM267531	GPL5760	GSE10616		cd	1
169	25	6155	GSM267532	GPL5760	GSE10616		cd	1
169	25	6156	GSM267533	GPL5760	GSE10616		cd	1
169	25	6157	GSM267534	GPL5760	GSE10616		cd	1
169	25	6158	GSM267535	GPL5760	GSE10616		cd	1
169	25	6159	GSM267536	GPL5760	GSE10616		cd	1
169	25	6160	GSM267537	GPL5760	GSE10616		cd	1
169	25	6161	GSM267538	GPL5760	GSE10616		cd	1
169	25	6162	GSM267539	GPL5760	GSE10616		cd	1
169	25	6163	GSM267540	GPL5760	GSE10616		cd	1
169	25	6164	GSM267541	GPL5760	GSE10616		cd	1
169	25	6165	GSM267542	GPL5760	GSE10616		cd	1
169	25	6166	GSM267543	GPL5760	GSE10616		cd	1
169	25	6167	GSM267544	GPL5760	GSE10616		cd	1
169	25	6168	GSM267545	GPL5760	GSE10616		cd	1
169	25	6169	GSM267546	GPL5760	GSE10616		cd	1
169	25	6170	GSM267547	GPL5760	GSE10616		cd	1
169	25	6171	GSM267548	GPL5760	GSE10616		cd	1
169	25	6172	GSM267549	GPL5760	GSE10616		cd	1
169	25	6173	GSM267550	GPL5760	GSE10616		cd	1
169	25	6174	GSM267551	GPL5760	GSE10616		cd	1
169	25	6175	GSM267552	GPL5760	GSE10616		cd	1
169	25	6176	GSM267553	GPL5760	GSE10616		cd	1
169	25	6177	GSM267554	GPL5760	GSE10616		cd	1
169	25	6178	GSM267555	GPL5760	GSE10616		cd	1
169	25	6179	GSM267556	GPL5760	GSE10616		cd	1
169	25	6180	GSM267557	GPL5760	GSE10616		cd	1
169	25	6181	GSM267558	GPL5760	GSE10616		cd	1
169	25	6182	GSM267559	GPL5760	GSE10616	cd_control		0
169	25	6183	GSM267560	GPL5760	GSE10616	cd_control		0
169	25	6184	GSM267561	GPL5760	GSE10616	cd_control		0
169	25	6185	GSM267562	GPL5760	GSE10616	cd_control		0
169	25	6186	GSM267563	GPL5760	GSE10616	cd_control		0
169	25	6187	GSM267564	GPL5760	GSE10616	cd_control		0
169	25	6188	GSM267565	GPL5760	GSE10616	cd_control		0
169	25	6189	GSM267566	GPL5760	GSE10616	cd_control		0
169	25	6190	GSM267567	GPL5760	GSE10616	cd_control		0
169	25	6191	GSM267568	GPL5760	GSE10616	cd_control		0
169	25	6192	GSM267569	GPL5760	GSE10616	cd_control		0
169	25	6193	GSM267570	GPL5760	GSE10616	cd_control		0
169	25	6194	GSM267571	GPL5760	GSE10616	cd_control		0
169	25	6195	GSM267572	GPL5760	GSE10616	cd_control		0
169	25	6196	GSM267573	GPL5760	GSE10616	cd_control		0
169	25	6197	GSM267574	GPL5760	GSE10616	cd_control		0
1852	18	79821	GSM29595	GPL284	GSE1710	cd_control		0
1852	18	79822	GSM29596	GPL284	GSE1710	cd_control		0
1852	18	79823	GSM29597	GPL284	GSE1710	cd_control		0
1852	18	79824	GSM29598	GPL284	GSE1710	cd_control		0
1852	18	79825	GSM29599	GPL284	GSE1710	cd_control		0
1852	18	79826	GSM29600	GPL284	GSE1710	cd_control		0
1852	18	79827	GSM29601	GPL284	GSE1710	cd_control		0
1852	18	79828	GSM29602	GPL284	GSE1710	cd_control		0
1852	18	79829	GSM29603	GPL284	GSE1710	cd_control		0
