series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	psa_control	psa	sample_class
12627	901	496308	GSM1381524	GPL13158	GSE57383	psa_control		0
12627	901	496312	GSM1381525	GPL13158	GSE57383	psa_control		0
12627	901	496314	GSM1381526	GPL13158	GSE57383	psa_control		0
12627	901	496317	GSM1381527	GPL13158	GSE57383	psa_control		0
12627	901	496320	GSM1381528	GPL13158	GSE57383	psa_control		0
12627	901	496323	GSM1381529	GPL13158	GSE57383	psa_control		0
12627	901	496327	GSM1381530	GPL13158	GSE57383	psa_control		0
12627	901	496329	GSM1381531	GPL13158	GSE57383	psa_control		0
12627	901	496332	GSM1381532	GPL13158	GSE57383	psa_control		0
12627	901	496335	GSM1381533	GPL13158	GSE57383	psa_control		0
12627	901	496338	GSM1381534	GPL13158	GSE57383	psa_control		0
12627	901	496341	GSM1381535	GPL13158	GSE57383	psa_control		0
12627	901	496343	GSM1381536	GPL13158	GSE57383	psa_control		0
12627	901	496346	GSM1381537	GPL13158	GSE57383	psa_control		0
12629	901	496347	GSM1382105	GPL13158	GSE57405	psa_control		0
12627	901	496351	GSM1381538	GPL13158	GSE57383	psa_control		0
12629	901	496352	GSM1382106	GPL13158	GSE57405	psa_control		0
12629	901	496354	GSM1382107	GPL13158	GSE57405	psa_control		0
12627	901	496355	GSM1381539	GPL13158	GSE57383	psa_control		0
12627	901	496359	GSM1381540	GPL13158	GSE57383	psa_control		0
12629	901	496360	GSM1382108	GPL13158	GSE57405	psa_control		0
12627	901	496363	GSM1381541	GPL13158	GSE57383	psa_control		0
12627	901	496365	GSM1381542	GPL13158	GSE57383	psa_control		0
12629	901	496367	GSM1382109	GPL13158	GSE57405	psa_control		0
12629	901	496370	GSM1382110	GPL13158	GSE57405	psa_control		0
12629	901	496374	GSM1382111	GPL13158	GSE57405	psa_control		0
12629	901	496378	GSM1382112	GPL13158	GSE57405	psa_control		0
12629	901	496382	GSM1382113	GPL13158	GSE57405	psa_control		0
12629	901	496386	GSM1382114	GPL13158	GSE57405	psa_control		0
12629	901	496390	GSM1382115	GPL13158	GSE57405	psa_control		0
12629	901	496395	GSM1382116	GPL13158	GSE57405	psa_control		0
12629	901	496401	GSM1382117	GPL13158	GSE57405	psa_control		0
12629	901	496406	GSM1382118	GPL13158	GSE57405	psa_control		0
12629	901	496411	GSM1382119	GPL13158	GSE57405	psa_control		0
12629	901	496416	GSM1382120	GPL13158	GSE57405	psa_control		0
12629	901	496422	GSM1382121	GPL13158	GSE57405	psa_control		0
12629	901	496427	GSM1382122	GPL13158	GSE57405	psa_control		0
12629	901	496432	GSM1382123	GPL13158	GSE57405	psa_control		0
12627	901	496514	GSM1381573	GPL13158	GSE57383		psa	1
12627	901	496520	GSM1381574	GPL13158	GSE57383		psa	1
12627	901	496525	GSM1381575	GPL13158	GSE57383		psa	1
12627	901	496530	GSM1381576	GPL13158	GSE57383		psa	1
12627	901	496535	GSM1381577	GPL13158	GSE57383		psa	1
12627	901	496540	GSM1381578	GPL13158	GSE57383		psa	1
12627	901	496545	GSM1381579	GPL13158	GSE57383		psa	1
12627	901	496551	GSM1381580	GPL13158	GSE57383		psa	1
12627	901	496553	GSM1381581	GPL13158	GSE57383		psa	1
12627	901	496558	GSM1381582	GPL13158	GSE57383		psa	1
