series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	t2d_control	t2d	sample_class
539	338	23822	GSM2287	GPL100	GSE121		t2d	1
539	338	23823	GSM2292	GPL100	GSE121		t2d	1
539	338	23824	GSM2297	GPL100	GSE121		t2d	1
539	338	23825	GSM2302	GPL100	GSE121		t2d	1
539	338	23826	GSM2307	GPL100	GSE121		t2d	1
539	338	23827	GSM2311	GPL100	GSE121	t2d_control		0
539	338	23828	GSM2316	GPL100	GSE121	t2d_control		0
539	338	23829	GSM2321	GPL100	GSE121	t2d_control		0
539	338	23830	GSM2326	GPL100	GSE121	t2d_control		0
539	338	23831	GSM2331	GPL100	GSE121	t2d_control		0
539	339	23832	GSM2288	GPL101	GSE121		t2d	1
539	339	23833	GSM2293	GPL101	GSE121		t2d	1
539	339	23834	GSM2298	GPL101	GSE121		t2d	1
539	339	23835	GSM2303	GPL101	GSE121		t2d	1
539	339	23836	GSM2308	GPL101	GSE121		t2d	1
539	339	23837	GSM2312	GPL101	GSE121	t2d_control		0
539	339	23838	GSM2317	GPL101	GSE121	t2d_control		0
539	339	23839	GSM2322	GPL101	GSE121	t2d_control		0
539	339	23840	GSM2327	GPL101	GSE121	t2d_control		0
539	339	23841	GSM2332	GPL101	GSE121	t2d_control		0
539	22	23842	GSM2289	GPL80	GSE121		t2d	1
539	22	23843	GSM2294	GPL80	GSE121		t2d	1
539	22	23844	GSM2299	GPL80	GSE121		t2d	1
539	22	23845	GSM2304	GPL80	GSE121		t2d	1
539	22	23846	GSM2309	GPL80	GSE121		t2d	1
539	22	23847	GSM2313	GPL80	GSE121	t2d_control		0
539	22	23848	GSM2318	GPL80	GSE121	t2d_control		0
539	22	23849	GSM2323	GPL80	GSE121	t2d_control		0
539	22	23850	GSM2328	GPL80	GSE121	t2d_control		0
539	22	23851	GSM2333	GPL80	GSE121	t2d_control		0
539	340	23852	GSM2285	GPL98	GSE121		t2d	1
539	340	23853	GSM2290	GPL98	GSE121		t2d	1
539	340	23854	GSM2295	GPL98	GSE121		t2d	1
539	340	23855	GSM2300	GPL98	GSE121		t2d	1
539	340	23856	GSM2305	GPL98	GSE121		t2d	1
539	340	23857	GSM2310	GPL98	GSE121	t2d_control		0
539	340	23858	GSM2314	GPL98	GSE121	t2d_control		0
539	340	23859	GSM2319	GPL98	GSE121	t2d_control		0
539	340	23860	GSM2324	GPL98	GSE121	t2d_control		0
539	340	23861	GSM2329	GPL98	GSE121	t2d_control		0
539	341	23862	GSM2284	GPL99	GSE121	t2d_control		0
539	341	23863	GSM2286	GPL99	GSE121		t2d	1
539	341	23864	GSM2291	GPL99	GSE121		t2d	1
539	341	23865	GSM2296	GPL99	GSE121		t2d	1
539	341	23866	GSM2301	GPL99	GSE121		t2d	1
539	341	23867	GSM2306	GPL99	GSE121		t2d	1
539	341	23868	GSM2315	GPL99	GSE121	t2d_control		0
539	341	23869	GSM2320	GPL99	GSE121	t2d_control		0
539	341	23870	GSM2325	GPL99	GSE121	t2d_control		0
539	341	23871	GSM2330	GPL99	GSE121	t2d_control		0
697	7	29398	GSM317322	GPL8300	GSE12643		t2d	1
697	7	29399	GSM317323	GPL8300	GSE12643		t2d	1
697	7	29400	GSM317324	GPL8300	GSE12643		t2d	1
697	7	29401	GSM317325	GPL8300	GSE12643		t2d	1
697	7	29402	GSM317326	GPL8300	GSE12643		t2d	1
697	7	29403	GSM317327	GPL8300	GSE12643		t2d	1
697	7	29404	GSM317328	GPL8300	GSE12643		t2d	1
697	7	29405	GSM317329	GPL8300	GSE12643		t2d	1
697	7	29406	GSM317330	GPL8300	GSE12643		t2d	1
697	7	29407	GSM317331	GPL8300	GSE12643		t2d	1
697	7	29408	GSM317332	GPL8300	GSE12643	t2d_control		0
697	7	29409	GSM317333	GPL8300	GSE12643	t2d_control		0
697	7	29410	GSM317334	GPL8300	GSE12643	t2d_control		0
697	7	29411	GSM317335	GPL8300	GSE12643	t2d_control		0
697	7	29412	GSM317336	GPL8300	GSE12643	t2d_control		0
697	7	29413	GSM317337	GPL8300	GSE12643	t2d_control		0
697	7	29414	GSM317338	GPL8300	GSE12643	t2d_control		0
697	7	29415	GSM317339	GPL8300	GSE12643	t2d_control		0
697	7	29416	GSM317340	GPL8300	GSE12643	t2d_control		0
697	7	29417	GSM317341	GPL8300	GSE12643	t2d_control		0
796	343	32561	GSM326095	GPL6106	GSE13015		t2d	1
796	343	32562	GSM326096	GPL6106	GSE13015	t2d_control		0
796	343	32578	GSM326112	GPL6106	GSE13015	t2d_control		0
796	343	32579	GSM326113	GPL6106	GSE13015		t2d	1
796	343	32585	GSM326119	GPL6106	GSE13015	t2d_control		0
796	343	32595	GSM326167	GPL6106	GSE13015		t2d	1
796	343	32597	GSM326169	GPL6106	GSE13015		t2d	1
796	343	32603	GSM326175	GPL6106	GSE13015		t2d	1
796	343	32615	GSM326187	GPL6106	GSE13015		t2d	1
796	343	32617	GSM326189	GPL6106	GSE13015		t2d	1
796	389	32638	GSM365212	GPL6947	GSE13015	t2d_control		0
796	389	32639	GSM365213	GPL6947	GSE13015	t2d_control		0
