series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	alopecia_areata_control	alopecia_areata	sample_class
8684	4	339561	GSM1105869	GPL570	GSE45512		alopecia_areata	1
8684	4	339562	GSM1105870	GPL570	GSE45512		alopecia_areata	1
8684	4	339563	GSM1105871	GPL570	GSE45512		alopecia_areata	1
8684	4	339564	GSM1105872	GPL570	GSE45512		alopecia_areata	1
8684	4	339565	GSM1105873	GPL570	GSE45512		alopecia_areata	1
8684	4	339566	GSM1105874	GPL570	GSE45512	alopecia_areata_control		0
8684	4	339567	GSM1105875	GPL570	GSE45512	alopecia_areata_control		0
8684	4	339568	GSM1105876	GPL570	GSE45512	alopecia_areata_control		0
8684	4	339569	GSM1105877	GPL570	GSE45512	alopecia_areata_control		0
8684	4	339570	GSM1105878	GPL570	GSE45512	alopecia_areata_control		0
10697	4	419670	GSM1414312	GPL570	GSE58573		alopecia_areata	1
10697	4	419671	GSM1414313	GPL570	GSE58573		alopecia_areata	1
10697	4	419672	GSM1414314	GPL570	GSE58573		alopecia_areata	1
10697	4	419673	GSM1414315	GPL570	GSE58573		alopecia_areata	1
10697	4	419674	GSM1414316	GPL570	GSE58573	alopecia_areata_control		0
10697	4	419675	GSM1414317	GPL570	GSE58573	alopecia_areata_control		0
10697	4	419676	GSM1414318	GPL570	GSE58573	alopecia_areata_control		0
