doid	log.txt	samples.tsv	balanced_permutation.tsv.gz	slim_id	slim_name	case_query	control_query
DOID_635	True	True	True	DOID:635	acquired immunodeficiency syndrome	HIV == 'HIV' or HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_control == 'HIV_control'
DOID_824	True	True	True	DOID:824	periodontitis	periodontitis == 'periodontitis'	periodontitis_control == 'periodontitis_control'
DOID_3310	True	True	True	DOID:3310	atopic dermatitis	eczema == 'eczema'	eczema_control == 'eczema_control'
DOID_1094	True	True	False	DOID:1094	attention deficit hyperactivity disorder	ADHD == 'ADHD'	ADHD_control == 'ADHD_control'
DOID_332	True	True	True	DOID:332	amyotrophic lateral sclerosis	ALS == 'ALS'	ALS_control == 'ALS_control'
DOID_11054	True	True	False	DOID:11054	urinary bladder cancer	bladder_cancer == 'bladder_cancer'	bladder_cancer_control == 'bladder_cancer_control'
DOID_9352	True	True	True	DOID:9352	type 2 diabetes mellitus	T2D == 'T2D'	T2D_control == 'T2D_control'
DOID_1686	True	True	True	DOID:1686	glaucoma	glaucoma == 'glaucoma'	glaucoma_control == 'glaucoma_control'
DOID_2841	True	True	True	DOID:2841	asthma	asthma == 'asthma'	asthma_control == 'asthma_control'
DOID_2986	True	True	True	DOID:2986	IgA glomerulonephritis	IgA_nephropathy == 'IgA_nephropathy'	IgA_nephropathy_control == 'IgA_nephropathy_control'
DOID_1936	True	True	True	DOID:1936	atherosclerosis	atherosclerosis == 'atherosclerosis'	atherosclerosis_control == 'atherosclerosis_control'
DOID_7693	True	True	True	DOID:7693	abdominal aortic aneurysm	AAA == 'AAA'	AAA_control == 'AAA_control'
DOID_1595	True	True	True	DOID:1595	endogenous depression	Depression == 'Depression' or MDD == 'MDD'	MDD_control == 'MDD_control' or Psychiatric_Control == 'Psychiatric_Control'
DOID_14330	True	True	True	DOID:14330	Parkinson's disease	PD == 'PD'	PD_control == 'PD_control'
DOID_986	True	True	True	DOID:986	alopecia areata	alopecia_areata == 'alopecia_areata'	alopecia_areata_control == 'alopecia_areata_control'
DOID_418	True	True	True	DOID:418	systemic scleroderma	systemic_scleroderma == 'systemic_scleroderma'	systemic_scleroderma_control == 'systemic_scleroderma_control'
DOID_12306	True	True	False	DOID:12306	vitiligo	vitiligo == 'vitiligo'	vitiligo_control == 'vitiligo_control'
DOID_2531	True	True	True	DOID:2531	hematologic cancer	AML_Tissue == 'AML_Tissue' or MM == 'MM'	AML_Control == 'AML_Control' or MM_Control == 'MM_Control'
DOID_10534	True	True	False	DOID:10534	stomach cancer	stomach_cancer_tissue == 'stomach_cancer_tissue'	stomach_cancer_tissue_control == 'stomach_cancer_tissue_control'
DOID_7148	True	True	True	DOID:7148	rheumatoid arthritis	RA == 'RA'	RA_control == 'RA_control'
DOID_3393	True	True	True	DOID:3393	coronary artery disease	CAD == 'CAD'	CAD_control == 'CAD_control'
DOID_9206	True	True	True	DOID:9206	Barrett's esophagus	BE_Tissue == 'BE_Tissue'	EAC_Non_Tumor == 'EAC_Non_Tumor'
DOID_9296	True	True	False	DOID:9296	cleft lip	cleft_lip == 'cleft_lip'	cleft_lip_control == 'cleft_lip_control'
DOID_2394	True	True	True	DOID:2394	ovarian cancer	ovarian_cancer == 'ovarian_cancer'	ovarian_cancer_control == 'ovarian_cancer_control'
DOID_11714	True	True	False	DOID:11714	gestational diabetes	GDM == 'GDM'	GDM_control == 'GDM_control'
DOID_12849	True	True	True	DOID:12849	autistic disorder	autism == 'autism'	autism_control == 'autism_control'
DOID_8778	True	True	True	DOID:8778	Crohn's disease	CD == 'CD'	CD_control == 'CD_control'
DOID_11612	True	True	True	DOID:11612	polycystic ovary syndrome	PCOS == 'PCOS'	PCOS_control == 'PCOS_control'
DOID_3083	True	True	True	DOID:3083	chronic obstructive pulmonary disease	COPD == 'COPD'	COPD_control == 'COPD_control'
DOID_10652	True	True	True	DOID:10652	Alzheimer's disease	AD == 'AD'	AD_Control == 'AD_Control'
DOID_13378	True	True	False	DOID:13378	Kawasaki disease	Kawasaki == 'Kawasaki'	Kawasaki_control == 'Kawasaki_control'
DOID_1324	True	True	True	DOID:1324	lung cancer	NSCLC == 'NSCLC' or PAC == 'PAC' or SCLC == 'SCLC' or lung_cancer == 'lung_cancer'	lung_cancer_control == 'lung_cancer_control' or lung_tissue_control == 'lung_tissue_control'
DOID_8893	True	True	True	DOID:8893	psoriasis	psoriasis == 'psoriasis'	psoriasis_control == 'psoriasis_control'
DOID_9074	True	True	True	DOID:9074	systemic lupus erythematosus	SLE == 'SLE'	SLE_control == 'SLE_control'
DOID_2377	True	True	True	DOID:2377	multiple sclerosis	MS == 'MS'	MS_control == 'MS_control'
DOID_8986	True	True	False	DOID:8986	narcolepsy	narcolepsy == 'narcolepsy'	narcolepsy_control == 'narcolepsy_control'
DOID_4606	True	True	False	DOID:4606	bile duct cancer	bile_duct_cancer == 'bile_duct_cancer'	bile_duct_cancer_control == 'bile_duct_cancer_control'
DOID_0050156	True	True	True	DOID:0050156	idiopathic pulmonary fibrosis	IPF == 'IPF'	IPF_control == 'IPF_control'
DOID_7147	True	True	True	DOID:7147	ankylosing spondylitis	ankylosing_spondylitis == 'ankylosing_spondylitis'	ankylosing_spondylitis_control == 'ankylosing_spondylitis_control'
DOID_0050742	True	True	True	DOID:0050742	nicotine dependence	Smoker == 'Smoker'	Smoker_control == 'Smoker_control'
DOID_5419	True	True	True	DOID:5419	schizophrenia	schizophrenia == 'schizophrenia'	Psychiatric_Control == 'Psychiatric_Control' or schizophrenia_Control == 'schizophrenia_Control'
DOID_1909	True	True	True	DOID:1909	melanoma	melanoma == 'melanoma'	melanoma_control == 'melanoma_control'
DOID_10763	True	True	True	DOID:10763	hypertension	PHT == 'PHT' or hypertension == 'hypertension'	PHT_Control == 'PHT_Control' or hypertension_control == 'hypertension_control'
