doid_0	disease_0	doid_1	disease_1	similarity
DOID:986	alopecia areata	DOID:14227	azoospermia	0.1113
DOID:986	alopecia areata	DOID:263	kidney cancer	0.1101
DOID:986	alopecia areata	DOID:0050742	nicotine dependence	0.09671
DOID:986	alopecia areata	DOID:9206	Barrett's esophagus	0.09575
DOID:986	alopecia areata	DOID:8577	ulcerative colitis	0.08989
DOID:986	alopecia areata	DOID:10652	Alzheimer's disease	0.07226
DOID:986	alopecia areata	DOID:2986	IgA glomerulonephritis	0.07119
DOID:986	alopecia areata	DOID:3083	chronic obstructive pulmonary disease	0.06747
DOID:986	alopecia areata	DOID:1612	breast cancer	0.06723
DOID:986	alopecia areata	DOID:418	systemic scleroderma	0.05549
DOID:986	alopecia areata	DOID:1909	melanoma	0.05197
DOID:986	alopecia areata	DOID:635	acquired immunodeficiency syndrome	0.04971
DOID:986	alopecia areata	DOID:219	colon cancer	0.04653
DOID:986	alopecia areata	DOID:9074	systemic lupus erythematosus	0.04381
DOID:986	alopecia areata	DOID:1793	pancreatic cancer	0.03482
DOID:986	alopecia areata	DOID:8893	psoriasis	0.03303
DOID:986	alopecia areata	DOID:5419	schizophrenia	0.03108
DOID:986	alopecia areata	DOID:0050156	idiopathic pulmonary fibrosis	0.0292
DOID:986	alopecia areata	DOID:8778	Crohn's disease	0.02637
DOID:986	alopecia areata	DOID:9008	psoriatic arthritis	0.02617
DOID:986	alopecia areata	DOID:7148	rheumatoid arthritis	0.02368
DOID:986	alopecia areata	DOID:7693	abdominal aortic aneurysm	0.02358
DOID:986	alopecia areata	DOID:12365	malaria	0.02143
DOID:986	alopecia areata	DOID:14330	Parkinson's disease	0.01948
DOID:986	alopecia areata	DOID:3310	atopic dermatitis	0.01827
DOID:986	alopecia areata	DOID:2531	hematologic cancer	0.0174
DOID:986	alopecia areata	DOID:11612	polycystic ovary syndrome	0.01601
DOID:9206	Barrett's esophagus	DOID:2986	IgA glomerulonephritis	0.13
DOID:9206	Barrett's esophagus	DOID:1909	melanoma	0.1288
DOID:9206	Barrett's esophagus	DOID:1612	breast cancer	0.1243
DOID:9206	Barrett's esophagus	DOID:263	kidney cancer	0.1227
DOID:9206	Barrett's esophagus	DOID:0050742	nicotine dependence	0.1198
DOID:9206	Barrett's esophagus	DOID:8577	ulcerative colitis	0.1187
DOID:9206	Barrett's esophagus	DOID:10652	Alzheimer's disease	0.115
DOID:9206	Barrett's esophagus	DOID:14227	azoospermia	0.09593
DOID:9206	Barrett's esophagus	DOID:986	alopecia areata	0.09575
DOID:9206	Barrett's esophagus	DOID:219	colon cancer	0.09134
DOID:9206	Barrett's esophagus	DOID:635	acquired immunodeficiency syndrome	0.08682
DOID:9206	Barrett's esophagus	DOID:3083	chronic obstructive pulmonary disease	0.07857
DOID:9206	Barrett's esophagus	DOID:1793	pancreatic cancer	0.06907
DOID:9206	Barrett's esophagus	DOID:9074	systemic lupus erythematosus	0.06079
DOID:9206	Barrett's esophagus	DOID:418	systemic scleroderma	0.05928
DOID:9206	Barrett's esophagus	DOID:0050156	idiopathic pulmonary fibrosis	0.05156
DOID:9206	Barrett's esophagus	DOID:8778	Crohn's disease	0.04438
DOID:9206	Barrett's esophagus	DOID:8893	psoriasis	0.04267
DOID:9206	Barrett's esophagus	DOID:3310	atopic dermatitis	0.03079
DOID:9206	Barrett's esophagus	DOID:14330	Parkinson's disease	0.03009
DOID:9206	Barrett's esophagus	DOID:5419	schizophrenia	0.02663
DOID:9206	Barrett's esophagus	DOID:2531	hematologic cancer	0.02612
DOID:9206	Barrett's esophagus	DOID:7693	abdominal aortic aneurysm	0.02592
DOID:9206	Barrett's esophagus	DOID:7148	rheumatoid arthritis	0.02323
DOID:9206	Barrett's esophagus	DOID:12365	malaria	0.02171
DOID:9206	Barrett's esophagus	DOID:9008	psoriatic arthritis	0.01795
DOID:9206	Barrett's esophagus	DOID:11612	polycystic ovary syndrome	0.01733
DOID:9074	systemic lupus erythematosus	DOID:635	acquired immunodeficiency syndrome	0.2054
DOID:9074	systemic lupus erythematosus	DOID:8577	ulcerative colitis	0.09951
DOID:9074	systemic lupus erythematosus	DOID:1612	breast cancer	0.09276
DOID:9074	systemic lupus erythematosus	DOID:8893	psoriasis	0.08613
DOID:9074	systemic lupus erythematosus	DOID:3083	chronic obstructive pulmonary disease	0.07435
DOID:9074	systemic lupus erythematosus	DOID:0050156	idiopathic pulmonary fibrosis	0.0739
DOID:9074	systemic lupus erythematosus	DOID:418	systemic scleroderma	0.07379
DOID:9074	systemic lupus erythematosus	DOID:263	kidney cancer	0.07237
DOID:9074	systemic lupus erythematosus	DOID:8778	Crohn's disease	0.07083
DOID:9074	systemic lupus erythematosus	DOID:12365	malaria	0.06883
