mygene_sym	mygene_entrez	doid	slim_id	slim_name	case_query	control_query
CTB-174D11.1	728095	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
CXorf22	170063	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
CXorf30	645090	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
FLJ11292	55338	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
FLJ22184	80164	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
LOC100093631	100093631	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
LOC100129361	100129361	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
LOC100133862	100133862	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
LOC100505718	100505718	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
LOC100506172	100506172	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
LOC100506351	100506351	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
LOC100507054	100507054	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
LOC100507316	100507316	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
LOC100509764	100509764	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
LOC100630918	100630918	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
LOC154872	154872	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
LOC283070	283070	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
LOC399491	399491	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
LOC493754	493754	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
LOC93432	93432	DOID_635	DOID:635	acquired immunodeficiency syndrome	HIV_Stage1 == 'HIV_Stage1' or HIV_stage2 == 'HIV_stage2' or HIV_stage3 == 'HIV_stage3'	HIV_healthycontrol == 'HIV_healthycontrol'
